Category,Name,URL,Description
AI App Builders,vybe,https://vybe.ai,Build internal apps 10X faster
AI App Builders,Emergent,https://emergent.ai,YC-backed build ambitious apps with agentic vibe-coding
AI App Builders,orchids v2,https://orchids.ai,YC-backed the worlds first AI Full Stack Engineer
AI App Builders,Same,https://same.ai,YC-backed build fullstack web apps by prompting
AI App Builders,Aura,https://aura.ai,Generate beautiful designs in seconds
AI App Builders,21st.dev,https://21st.dev,Build products that reflect the team's own taste
AI App Builders,Base44,https://base44.ai,Build fully-functional apps in minutes with just your words
AI App Builders,VibeFlow,https://vibeflow.ai,YC backed transform AI-generated frontend mockups into applications
AI App Builders,Blink,https://blink.ai,Turn any idea into a beautiful working app in seconds
AI App Builders,a0,https://a0.ai,YC backed ship mobile apps to the App Store and Google Play with AI
AI App Builders,Anything,https://anything.ai,Create powerful apps & websites by chatting with AI
AI App Builders,Rocket,https://rocket.ai,Think It. Type It. Launch It.
Mobile AI App Builders,Rork,https://rork.ai,Builds complete cross-platform mobile apps using AI and React Native
Mobile AI App Builders,Vibecode,https://vibecode.ai,Create native apps in seconds with AI
Mobile AI App Builders,bitrig,https://bitrig.ai,Build apps for your phone on your phone
Mobile AI App Builders,Spielwork,https://spielwork.ai,The Tiktok for vibecoded mini games
Mobile AI App Builders,Gizmo,https://gizmo.ai,Make playful personal software—right from your phone
Mobile AI App Builders,Hivemind,https://hivemind.ai,The fastest & easiest way to chat & code with any AI in one app
Mobile AI App Builders,Bloom,https://bloom.ai,YC backed go from idea to native mobile app on your phone
Mobile AI App Builders,Vibe Code Go,https://vibecodego.ai,YC backed code from your phone
Open Source AI App Builders,Dyad,https://dyad.ai,A local open-source AI app builder
Open Source AI App Builders,Open Lovable,https://github.com/lovable/open-lovable,Clone and recreate any website as a modern React app
Open Source AI App Builders,bolt.diy,https://bolt.diy,Bolt.new OSS version AI-powered full-stack web dev
Open Source AI App Builders,app.build,https://app.build,An open-source AI agent that builds full-stack apps
Open Source AI App Builders,ToolJet,https://tooljet.com,An open-source low-code framework
Open Source AI App Builders,Adorable,https://github.com/adorable/adorable,Another open source Lovable version
Open Source AI App Builders,Vercel,https://vercel.com,OSS Vibe Coding Platform
Open Source AI App Builders,Cloudflare VibeSDK,https://cloudflare.com/vibesdk,Run an entire vibe coding platform
Other Useful AI DevTools,Ollama,https://ollama.ai,Chat & build with open models
Other Useful AI DevTools,LM Studio,https://lmstudio.ai,Run gpt-oss Qwen Gemma DeepSeek on your computer
Other Useful AI DevTools,Open WebUI,https://openwebui.com,Self-hosted AI platform designed to operate entirely offline
Other Useful AI DevTools,SillyTavern,https://sillytavern.ai,A locally installed UI for text image and voice LLMs
Other Useful AI DevTools,Unsloth,https://unsloth.ai,An open-source framework for LLM fine-tuning
Other Useful AI DevTools,n8n,https://n8n.io,Flexible AI workflow automation for technical teams
Other Useful AI DevTools,Firecrawl,https://firecrawl.ai,Turn websites into LLM-ready data
Other Useful AI DevTools,Agents.md,https://agents.md,A simple open format for guiding coding agents
Other Useful AI DevTools,Vercel AI Gateway,https://vercel.com/ai-gateway,A gateway to access hundreds of models
Other Useful AI DevTools,OpenRouter,https://openrouter.ai,A unified API providing access to hundreds of AI models
Other Useful AI DevTools,Fabric,https://fabric.ai,An open-source modular system for solving specific problems
Other Useful AI DevTools,Vibetunnel,https://vibetunnel.ai,VibeTunnel proxies your terminals right into the browser
Coding Leaderboards,SWE-Bench Pro,https://swebench.pro,A new benchmark for evaluating AI agents for software engineering
Coding Leaderboards,Aider,https://aider.chat/leaderboard,Aider polyglot coding leaderboard
Coding Leaderboards,SWE-bench,https://swebench.ai,SWE-bench evaluates LLM performance on real world software issues
Coding Leaderboards,SWE-rebench,https://swe-rebench.ai,A Continuously Evolving and Decontaminated Benchmark
Coding Leaderboards,OpenRouter,https://openrouter.ai/leaderboard,Model Market Share Use Case Categories and App Rankings
Coding Leaderboards,Terminal-Bench,https://terminal-bench.ai,A benchmark measuring the capabilities of AI agents in a terminal environment
Coding Leaderboards,PR Arena,https://pr-arena.ai,Software engineering agents head to head
Coding Leaderboards,Multi-SWE-bench,https://multi-swe-bench.ai,A Multilingual Benchmark for Issue Resolving
Coding Leaderboards,SWE-DEV,https://swe-dev.ai,Evaluating and Training Autonomous Feature-Driven Software Development
SOURCE,...,https://github.com/joylarkin/AI-Coding-Landscape,The 2025 AI Coding Landscape - Coding agents, CLIs, IDEs, AI app builders, devtools, and more
