Category,Name,URL,Description
AI Coding Agents/CLI Tools,OpenAI Codex,https://openai.com/codex,Cloud coding agent toolkit
AI Coding Agents/CLI Tools,GitHub Copilot,https://github.com/features/copilot,Pair-programming assistant
AI Coding Agents/CLI Tools,Claude Code,https://claude.ai,Anthropic terminal agent
AI Coding Agents/CLI Tools,Gemini Code Assist,https://ai.google.dev,Google AI coding assistant
AI Coding Agents/CLI Tools,Cognition Devin,https://cognition.ai,An autonomous AI software engineer
AI Coding Agents/CLI Tools,Amazon Q Developer,https://aws.amazon.com/q/developer/,AWS code-gen & refactor
AI Coding Agents/CLI Tools,Cursor AI,https://cursor.sh,Agent baked into Cursor IDE
AI Coding Agents/CLI Tools,Goose,https://goose.ai,Model + agent API
AI Coding Agents/CLI Tools,Amp,https://sourcegraph.com/amp,Sourcegraph coding agent
AI Coding Agents/CLI Tools,Reflection AI Asimov,https://reflection.ai,Enterprise code research agent
AI Coding Agents/CLI Tools,Conductor,https://conductor.ai,Run a bunch of Claude Codes in parallel
AI Coding Agents/CLI Tools,Scout,https://scout.ai,The most curious coding and research agent
AI Coding Agents/CLI Tools,Blackbox AI,https://blackbox.ai,New Autonomous AI Coding Agent
AI Coding Agents/CLI Tools,Forge Code,https://forge.ai,An AI software engineering agent
AI Coding Agents/CLI Tools,Factory,https://factory.ai,Delegate software development tasks to agents called Droids
AI Coding Agents/CLI Tools,Replit Agent,https://replit.com,Set up and create apps from scratch
AI Coding Agents/CLI Tools,JetBrains Junie,https://jetbrains.com/junie,Your smart coding agent
AI Coding Agents/CLI Tools,Slate,https://slate.ai,A purpose built agent for long coding tasks
AI Coding Agents/CLI Tools,GitHub Copilot CLI,https://github.com/features/copilot/cli,GitHub Copilot coding agent for terminal
AI Coding Agents/CLI Tools,Codebuff,https://codebuff.ai,Terminal assistant for writing and understanding code
Open Source AI Coding Agents/CLI Tools,Aider,https://aider.chat,Terminal pair-programming
Open Source AI Coding Agents/CLI Tools,Continue,https://continue.dev,IDE extensions + CLI
Open Source AI Coding Agents/CLI Tools,Cline,https://cline.ai,Autonomous IDE agent
Open Source AI Coding Agents/CLI Tools,Roo Code,https://roo.ai,Cline fork VS Code extension
Open Source AI Coding Agents/CLI Tools,Kilo Code,https://kilocode.ai,AI coding agent for VS Code and JetBrains
Open Source AI Coding Agents/CLI Tools,Gemini CLI,https://github.com/google/gemini-cli,Open-source AI agent for Google Gemini
Open Source AI Coding Agents/CLI Tools,OpenAI Codex CLI,https://github.com/openai/codex-cli,Open-source command-line agent for OpenAI
Open Source AI Coding Agents/CLI Tools,OpenHands,https://openhands.ai,Multi-tool coding agent
Open Source AI Coding Agents/CLI Tools,Qwen Code,https://qwen.ai,Command-line AI workflow tool for Qwen3-Coder
Open Source AI Coding Agents/CLI Tools,Ruler,https://ruler.ai,Central AI agent rule registry
Open Source AI Coding Agents/CLI Tools,OpenCode,https://opencode.ai,OSS terminal assistant
Open Source AI Coding Agents/CLI Tools,Vibe Kanban,https://vibekanban.ai,Orchestrate multiple agents
Open Source AI Coding Agents/CLI Tools,Charm,https://charm.ai,A charming terminal agent
Open Source AI Coding Agents/CLI Tools,Goose,https://goose.ai,Open source extensible AI agent
Open Source AI Coding Agents/CLI Tools,DeepCode,https://deepcode.ai,Transform research papers into production-ready code
Desktop IDEs,Visual Studio Code,https://code.visualstudio.com,
Desktop IDEs,IntelliJ IDEA,https://jetbrains.com/idea,
Desktop IDEs,PyCharm,https://jetbrains.com/pycharm,
Desktop IDEs,WebStorm,https://jetbrains.com/webstorm,
Desktop IDEs,Xcode,https://developer.apple.com/xcode,
Desktop IDEs,Eclipse,https://eclipse.org,
Desktop IDEs,NetBeans,https://netbeans.org,
Desktop IDEs,Atom,https://atom.io,Atom community fork
Desktop IDEs,Blackbox IDE,https://blackbox.ai/ide,
Cloud & AI-Powered IDEs,Cursor,https://cursor.sh,AI-first VS Code fork
Cloud & AI-Powered IDEs,Windsurf,https://windsurf.ai,Agentic IDE with advanced AI coding assistant
Cloud & AI-Powered IDEs,Zed,https://zed.dev,High-performance Rust editor with AI chat
Cloud & AI-Powered IDEs,Amp,https://sourcegraph.com/amp,VS Code Extension
Cloud & AI-Powered IDEs,Trae,https://trae.ai,ByteDance AI IDE
Cloud & AI-Powered IDEs,Augment Code,https://augmentcode.ai,Developer AI platform
Cloud & AI-Powered IDEs,Warp,https://warp.dev,An agentic development environment
Cloud & AI-Powered IDEs,Kiro,https://kiro.ai,Structure to AI coding with spec-driven development (Waitlist)
AI App Builders,Bolt,https://bolt.new,Browser-based AI app builder
AI App Builders,Lovable,https://lovable.dev,Chat-to-app builder
AI App Builders,Replit,https://replit.com,Cloud IDE w/ Ghostwriter
AI App Builders,v0.dev,https://v0.dev,Vercel text-to-UI generator
AI App Builders,Mocha,https://mocha.ai,YC-backed no-code app builder
AI App Builders,Nectry,https://nectry.ai,Responsible vibe coding for the enterprise
AI App Builders,Reflex,https://reflex.dev,From prompt to production build and deploy Python apps
AI App Builders,Superblocks,https://superblocks.com,Build secure internal apps with AI
